message,list_of_words,single_response,required_words
"It's nice to see you again, my friend!","['hello', 'sup', 'hi', 'yo']",TRUE,
"It's a good thing I know that one Shoot me some questions, my friend!","['want', 'know', 'IoT device controller']",TRUE,
Welcome! You can ask me anytime you want.,"['thank you', 'thanks']",TRUE,
"Bye! Stay safe and healthy, my friend!","['bye', 'goodbye'] ",TRUE,
"Hey there, so Internet of Things device controller, from the word itself. It is a device that allows people to control and monitor their IoT devices, it can be your smartphone, laptops, smart TVs, smart home, and many more. I hope you understood that, my friend.","['provide', 'overview', 'explain']",TRUE,
"Answer, You might be shocked with what I'm about to say, so ready yourself, my friend. You can use this anywhere! I mean anywhere at all! From the lights in your home, cameras, thermostat, garage doors you can even command it. IoT is you assistance in life, buddy.","['where', 'home']",TRUE,
"This IoT Device Controller will be a huge helping hand in your life, buds! I'm telling you, it can help you by saving time, but doing more. Was it quite misleading? Sorry, basically you can monitor the connected IoT devices in it from the battery percentage, screen time, and notifications that is sent from that device. You can also give commands. Works like magic, right?","['using', 'benefit', 'gain']",TRUE,
"You know, you might think that this is some sort of black magic, but its not. It can actually control anything from smartphones to garage doors to the temperature of the room. It's basically like a human being already, but it doesn't have an appearance, but it's not a ghost.. so don't be scared.","['devices', 'gadgets', 'gadget', 'control', 'monitor']",TRUE,
"Wow, being a student is stressful that's for sure. Iot Device Controller can be your study buddy when you need one, although it may not really answer your homeworks. But, it sure can help you relieve stress with just one command you can feel like you're in a coffee shop studying and it can actually improve your productivity, and it can also enhance your 21st century skills, which is being technology literate. Oh, before I forget it can also help you with multi-tasking.","['alleviate', 'stress', 'student']",TRUE,
"Most definitely! Especially if you work at home and you need to do some chores, but can't leave your desk. Just one command and the IoT Device Controller is at your service, my dear friend. Having this device will make you feel that you are not alone at home.. not to sound creepy or anything, but this device will surely help you in more ways than one.","['chores', 'asisst', 'working', 'homework']",TRUE,
"Pal.. of course you can! This device has a user-friendly design that will allow anyone, even if you are not really a techy-kinda person. It has a single interface and it uses human-like language that makes it even more easier to use. You should give it a try first and let's see the results.","['easy', 'old']",,"['technology', 'knowledgeable']"
"If you are a student, housewife, or just any adult that needs help about prioritizing or managing things. This is for you, bestie. This device can take down notes for you, and if you forgot it with just one voice command, the device can help you remember it and it can even send you notifications and update you with real-time news or weather updates.","['manage', 'managing', 'priorities', 'tasks']",TRUE,
"That is something that I can assure you of myself, Champ. This device prioritizes data security and privacy, which means any data or information that will be exchanged through this device will only remain in this device. To sum it up, just like in the ROTC, what you see, what you hear, what you feel, when you leave, leave it here. That is something that IoT Device Controller upholds.","['problems', 'safe', 'communication', 'information']",TRUE,
"Most definitely! It's like a build your own lego, but instead of lego bricks you can customize your own device by setting up your personalized voice commands that will do a specific action and it can even respond to you in natural language.","['change', 'changes', 'customize', 'preference']",TRUE,
"Did you know that one of the functions of IoT Device Controller is to take care of things that you might forget. One is when turning off lights, we usually forget that right? Another is turning of the aircon, since we're sleeping soundly we forget to turn it off to conserve electricity, this device can do that for you! It likes to conserve electricity.","['cost', 'increase', 'electricicty', 'bill']",TRUE,
"My buddy, this device will actually remind you to take a rest by showing you the report of how long you are using a specific device and it can even provide you the summary of your entire time of usage of each device! It's like a mother scolding you, but in a more calm manner.","['affect', 'eyes', 'strain']",TRUE,
Most certainly! It has built-in sensors that would be able to monitor the temperature of your room or house! ,"['sense', 'environment',' temperature']",TRUE,
"I'm a huge fan of those.. But yes, my friend, our IoT device controller is compatible to any source of energy","['solar', 'panel', 'alternative', 'energy']",TRUE,
"IoT device controller is like your best friend that updates you with the current trends may it be with clothes, foods, or places!","['social', 'media', 'trends'] ",TRUE,
"Yes, my friend! You can even monitor the house even if you are far away for a vacation or work! ","['away', 'far'] ",TRUE,
Hey.. IoT can also be your travel guide and can even help you find destination that you will surely love! ,"['travel', 'destination', 'guide']",TRUE,
I assure you of that! You can use fingerprint recognition or even a pattern to ensure the security of the information you provided. ,"['add', 'security', 'authentication']",TRUE,
Yes! The IoT device actually has a guest mode that allows other people to use it without having to interfere with the current information. ,"['guest', 'friend', 'workmate']",TRUE,
"As I have mentioned before, it likes to conserve energy, so yes! It has a battery saver mode that can conserve it's energy. ","['battery', 'saver', 'low', 'power', 'mode']",TRUE,
Why have an assistant when you can have me! IoT device controller can help you with your schedules and even remind you of your tasks or add something new in your routine! ,"['schedule', 'routines', 'reminders']",TRUE,
